date,volume
2017-05-08,354.882
2017-05-09,390.088
2017-05-10,345.75
2017-05-11,282.46
2017-05-12,291.46
2017-05-13,223.5
2017-05-14,0
2017-05-15,314.25
2017-05-16,355.625
2017-05-17,323.172
2017-05-18,400.272
2017-05-19,388.589
2017-05-20,290.635
2017-05-21,0
2017-05-22,420.381
2017-05-23,1.25
2017-05-24,2196.968
2017-05-25,728.002
2017-05-26,1668.678
2017-05-27,5
2017-05-28,1097.75
2017-05-29,0
2017-05-30,3318.368
2017-05-31,0
2017-06-01,0
2017-06-02,5032.681
2017-06-03,469.667
2017-06-04,0
2017-06-05,0
2017-06-06,884.59
2017-06-07,535.209
2017-06-08,331.542
2017-06-09,3
2017-06-10,766.47
2017-06-11,539.186
2017-06-12,431.895
2017-06-13,486.27
2017-06-14,0
2017-06-15,1338.089
2017-06-16,14.793
2017-06-17,1326.575
2017-06-18,397.292
2017-06-19,467.21
2017-06-20,512.462
2017-06-21,725.504
2017-06-22,885.594
2017-06-23,849.047
2017-06-24,439.918
2017-06-25,0
2017-06-26,438.46
2017-06-27,680.044
2017-06-28,776.881
2017-06-29,832.752
2017-06-30,957.337
2017-07-01,2.75
2017-07-02,0
2017-07-03,1248.256
2017-07-04,4.584
2017-07-05,1617.92
2017-07-06,0
2017-07-07,1390.21
2017-07-08,31.75
2017-07-09,0
2017-07-10,2098.128
2017-07-11,896.503
2017-07-12,1004.96
2017-07-13,910.087
2017-07-14,901.504
2017-07-15,682.586
2017-07-16,0
2017-07-17,566.669
2017-07-18,597.503
2017-07-19,628.586
2017-07-20,465.836
2017-07-21,805.794
2017-07-22,426.21
2017-07-23,0
2017-07-24,665.002
2017-07-25,814.462
2017-07-26,951.963
2017-07-27,860.584
2017-07-28,716.836
2017-07-29,360.375
2017-07-30,0
2017-07-31,506.129
2017-08-01,534.171
2017-08-02,499.502
2017-08-03,477.712
2017-08-04,468.506
2017-08-05,391.503
2017-08-06,0
2017-08-07,830.214
2017-08-08,0
2017-08-09,1650.841
2017-08-10,573.128
2017-08-11,733.214
2017-08-12,420.313
2017-08-13,0
2017-08-14,624.207
2017-08-15,560.462
2017-08-16,617.88
2017-08-17,469.336
2017-08-18,627.926
2017-08-19,3
2017-08-20,364.126
2017-08-21,541.254
2017-08-22,557.792
2017-08-23,506.75
2017-08-24,412.042
2017-08-25,451
2017-08-26,269
2017-08-27,0
2017-08-28,0
2017-08-29,934.75
2017-08-30,587
2017-08-31,573.5
2017-09-01,299.25
2017-09-02,0
2017-09-03,400.375
2017-09-04,1148.25
2017-09-05,1045
2017-09-06,1091.774
2017-09-07,660.5
2017-09-08,796.75
2017-09-09,492.083
2017-09-10,0
2017-09-11,630.916
2017-09-12,796.874
2017-09-13,858.5
2017-09-14,1409.25
2017-09-15,1263.25
2017-09-16,0
2017-09-17,223
2017-09-18,314.75
2017-09-19,308.25
2017-09-20,320.875
2017-09-21,316.75
2017-09-22,371.346
2017-09-23,0
2017-09-24,0
2017-09-25,265.75
2017-09-26,230.5
2017-09-27,327.5
2017-09-28,553.25
2017-09-29,641
2017-09-30,1287
2017-10-01,0
2017-10-02,234.5
2017-10-03,390
2017-10-04,650.875
2017-10-05,286
2017-10-06,331.542
2017-10-07,218.75
2017-10-08,0
2017-10-09,300
2017-10-10,307.25
2017-10-11,389.5
2017-10-12,425
2017-10-13,409.5
2017-10-14,390.25
2017-10-15,0
2017-10-16,1270
2017-10-17,1230.5
2017-10-18,1271.25
2017-10-19,443.25
2017-10-20,310
2017-10-21,604.5
2017-10-22,0
2017-10-23,659.336
2017-10-24,1258.25
2017-10-25,1399.917
2017-10-26,1856.375
2017-10-27,1181.626
2017-10-28,365.5
2017-10-29,0
2017-10-30,327.5
2017-10-31,333.333
2017-11-01,330.25
2017-11-02,291.5
2017-11-03,277
2017-11-04,0
2017-11-05,0
2017-11-06,152
2017-11-07,198
2017-11-08,237.5
2017-11-09,557
2017-11-10,935.75
2017-11-11,275.25
2017-11-12,0
2017-11-13,227
2017-11-14,331.75
2017-11-15,419.5
2017-11-16,460.75
2017-11-17,620
2017-11-18,335
2017-11-19,0
2017-11-20,275
2017-11-21,307.75
2017-11-22,442.628
2017-11-23,428.75
2017-11-24,190.792
2017-11-25,147.5
2017-11-26,0
2017-11-27,182.75
2017-11-28,205.5
2017-11-29,201.25
2017-11-30,243.5
2017-12-01,201
2017-12-02,194.084
2017-12-03,0
2017-12-04,0
2017-12-05,423.084
2017-12-06,211.5
2017-12-07,209.75
2017-12-08,196.5
2017-12-09,2.5
2017-12-10,181.25
2017-12-11,1355
2017-12-12,0
2017-12-13,2461
2017-12-14,407.25
2017-12-15,1248.5
2017-12-16,153.25
2017-12-17,0
2017-12-18,0
2017-12-19,818
2017-12-20,526.25
2017-12-21,464.25
2017-12-22,890.833
2017-12-23,457
2017-12-24,0
2017-12-25,617
2017-12-26,731
2017-12-27,647.75
2017-12-28,952.75
2017-12-29,542.75
2017-12-30,85
2017-12-31,0
2018-01-01,0
2018-01-02,161.5
2018-01-03,386
2018-01-04,358
2018-01-05,543.75
2018-01-06,710
2018-01-07,438
2018-01-08,792.375
2018-01-09,369.833
2018-01-10,206.25
2018-01-11,326.75
2018-01-12,423
2018-01-13,749
2018-01-14,0
2018-01-15,921.75
2018-01-16,1103.75
2018-01-17,726.25
2018-01-18,654.25
2018-01-19,450.084
2018-01-20,594.25
2018-01-21,332.25
2018-01-22,1117
2018-01-23,764.75
2018-01-24,1168.5
2018-01-25,1509
2018-01-26,556.25
2018-01-27,0
2018-01-28,418.25
2018-01-29,569.25
2018-01-30,534
2018-01-31,637.5
